scope,stage,provider,model,attempts,successes,errors,running,input_tokens_all_attempts,output_tokens_all_attempts,reasoning_tokens_all_attempts,cached_input_tokens_all_attempts,physical_cost_usd_all_attempts,success_latency_mean_ms,success_latency_median_ms,success_latency_p90_ms,all_attempt_latency_mean_ms,all_attempt_latency_median_ms,all_attempt_latency_p90_ms
B,answer_generation,local-vLLM,Qwen3-8B,24,24,0,0,29923,185,0,0,0,333.1516598749925,311.9940179998521,391.7871343000676,333.1516598749925,311.9940179998521,391.7871343000676
B,decision,OpenRouter,openai/gpt-5.6-sol,6912,6912,0,0,4423301,370658,230791,0,12.553182000000056,2420.978255332756,2324.766345999844,3562.461419899949,2420.978255332756,2324.766345999844,3562.461419899949
B,embedding,local-vLLM,Qwen3-Embedding-4B,15937,15937,0,0,360854,0,0,0,0,56.816648709671426,23.964389000087976,137.3516225999454,56.816648709671426,23.964389000087976,137.3516225999454
B,evaluator,OpenRouter,openai/gpt-4o-2024-08-06,24,24,0,0,2826,32,0,0,0.007385,770.423756208375,766.4698400001507,927.5581685998943,770.423756208375,766.4698400001507,927.5581685998943
B,rewrite_joint_update,local-vLLM,Qwen3-8B,2170,2170,0,0,401433,69588,0,0,0,725.9804641046119,629.3293879998382,1157.3579486999895,725.9804641046119,629.3293879998382,1157.3579486999895
C,answer_generation,local-vLLM,Qwen3-8B,24,24,0,0,29858,190,0,0,0,330.96634558339673,281.8091015003156,484.0857923999777,330.96634558339673,281.8091015003156,484.0857923999777
C,decision,OpenRouter,typesafe/jev-1.13,7069,7066,3,0,6247405,337866,0,0,0.2623910100000003,407.9478860929841,390.8527125000255,472.88541700015776,425.02086380153105,390.8902370000724,473.10586119997316
C,embedding,local-vLLM,Qwen3-Embedding-4B,17082,17082,0,0,380301,0,0,0,0,78.82427600690932,41.178484500036575,201.9278517003171,78.82427600690932,41.178484500036575,201.9278517003171
C,evaluator,OpenRouter,openai/gpt-4o-2024-08-06,24,24,0,0,2831,31,0,0,0.007387499999999999,771.8154727083844,744.0927095001098,861.7945941999672,771.8154727083844,744.0927095001098,861.7945941999672
C,rewrite_joint_update,local-vLLM,Qwen3-8B,3316,3316,0,0,584635,93622,0,0,0,654.8922133612786,599.1390629999951,983.5012299999362,654.8922133612786,599.1390629999951,983.5012299999362
shared,extraction,local-vLLM,Qwen3-8B,2548,2519,29,0,3088508,2717389,0,0,0,23637.963050481514,14664.346220999956,47301.97436119976,25441.61002867188,14823.313012499944,49782.711425700014
