order,question_id,slice,sessions,facts,B_correct,C_correct,B_judge_valid,C_judge_valid,B_active,C_active,C_minus_B_active,B_events,C_events,B_retrieved_active,B_retrieved_archive,C_retrieved_active,C_retrieved_archive,B_controller_calls,C_controller_calls,B_controller_input_tokens,C_controller_input_tokens,B_controller_output_tokens,C_controller_output_tokens,B_controller_reasoning_tokens,C_controller_reasoning_tokens,B_controller_cost_usd,C_controller_cost_usd,B_median_decision_latency_ms,C_median_decision_latency_ms
0,89941a94,knowledge-update,46,338,true,true,true,true,93,163,70,338,338,2,8,2,8,338,351,222725,319995,18410,17061,11566,0,0.62955,0.013439790000000012,2269.3867114999885,400.84065400002874
1,830ce83f,knowledge-update,47,328,true,true,true,true,89,154,65,328,328,0,10,1,9,328,339,194246,299375,17972,16442,11349,0,0.5682119999999999,0.01257375000000001,2213.238856999902,409.0884129999904
2,5c40ec5b,knowledge-update,51,276,true,true,true,true,57,113,56,276,276,2,8,3,7,276,281,182107,250426,13155,13341,7648,0,0.495764,0.010517892,1770.8969970000908,407.0657240001019
3,0977f2af,knowledge-update,44,296,true,true,true,true,57,119,62,296,296,1,9,3,7,296,304,183747,269855,16158,14646,10113,0,0.5290739999999998,0.011333910000000003,2456.7032109999564,406.7011615000083
4,184da446,knowledge-update,42,322,false,false,true,true,69,150,81,322,322,0,10,2,8,322,327,213392,291390,16849,15512,10352,0,0.5952739999999995,0.012238379999999993,2488.228310500039,378.70407000000705
5,6aeb4375_abs,abstention,46,299,false,false,true,true,77,121,44,299,299,1,9,2,8,299,306,190353,273729,16456,14675,10402,0,0.5452660000000001,0.011496618000000004,2381.277424000029,403.085138000024
6,7e974930,knowledge-update,47,267,true,true,true,true,78,130,52,267,267,4,6,4,6,267,276,166124,242094,14195,13370,8774,0,0.47419800000000006,0.010167948000000003,2378.1970699999947,390.43928300007246
7,07741c45,knowledge-update,49,278,false,false,true,true,61,131,70,278,278,0,10,2,8,278,283,173627,250655,14402,13473,8801,0,0.4912739999999998,0.010527509999999997,2289.1730760000064,400.0221859999583
8,2133c1b5_abs,abstention,39,204,false,false,true,true,65,112,47,204,204,3,7,4,6,204,211,142830,195065,11432,10161,7287,0,0.39998,0.008192730000000002,2393.613396000117,389.63409149996005
9,031748ae_abs,abstention,52,301,false,false,true,true,74,87,13,301,301,3,7,3,7,301,305,200834,255367,15217,14431,9130,0,0.5538380000000002,0.01072541399999999,2185.291977999732,383.6848330004141
10,852ce960,knowledge-update,39,216,true,true,true,true,62,102,40,216,216,1,9,3,7,216,220,131164,186293,11983,10414,7595,0,0.3821580000000002,0.007824305999999993,2409.3812719999114,372.25978949997807
11,8fb83627,knowledge-update,44,312,true,true,true,true,110,172,62,312,312,3,7,3,7,312,318,200909,282741,19598,15147,13238,0,0.5977980000000003,0.011875121999999995,2557.4752390000504,380.3273764998885
12,6071bd76,knowledge-update,46,313,false,false,true,true,79,149,70,313,313,1,9,2,8,313,318,204267,280807,15833,15098,9533,0,0.5668639999999998,0.011793893999999997,2201.1301989997737,378.43002500012517
13,603deb26,knowledge-update,48,312,true,true,true,true,87,153,66,312,312,1,9,2,8,312,324,197868,294622,17124,15768,10777,0,0.5669759999999998,0.012374124,2330.6928710000066,382.8638099999516
14,c6853660,knowledge-update,46,328,false,true,true,true,83,147,64,328,328,3,7,3,7,328,335,207164,292805,18324,16031,11683,0,0.5975680000000007,0.012297809999999985,2383.4227680000477,382.589554999955
15,cf22b7bf,knowledge-update,55,290,true,true,true,true,74,124,50,290,290,3,7,3,7,290,294,194210,254611,14456,13932,8607,0,0.5329800000000005,0.010693662000000007,2154.032401000615,380.55239900015295
16,ba61f0b9,knowledge-update,45,260,true,true,true,true,91,135,44,260,260,2,8,2,8,260,262,159497,226345,14574,12298,9309,0,0.46473399999999987,0.009506489999999996,2465.0685300002806,401.86720700049773
17,72e3ee87,knowledge-update,51,289,true,true,true,true,70,118,48,289,289,3,7,4,6,289,294,170692,247871,15526,14006,9691,0,0.49664399999999986,0.01041058199999999,2307.227081999881,397.4304880001582
18,71315a70,knowledge-update,51,303,true,true,true,true,83,167,84,303,303,1,9,2,8,303,310,186515,271129,15575,14794,9451,0,0.5287800000000002,0.011387418000000005,2198.298540000338,397.14908500015736
19,6a1eabeb,knowledge-update,40,299,true,true,true,true,73,153,80,299,299,3,7,3,7,299,307,188158,272522,16342,14773,10280,0,0.5397359999999995,0.011445924,2351.905095999995,402.10435300000245
20,3ba21379,knowledge-update,37,205,true,true,true,true,54,96,42,205,205,1,9,1,9,205,207,140938,192255,10806,9744,6663,0,0.3899359999999999,0.00807471,2075.779352999758,394.6983809999656
21,dad224aa,knowledge-update,48,318,false,false,true,true,75,144,69,318,318,0,10,3,7,318,324,209607,297541,17542,15446,11101,0,0.5946339999999997,0.012496721999999998,2361.4938380001113,396.5624474999495
22,d7c942c3,knowledge-update,48,264,true,true,true,true,53,111,58,264,264,1,9,2,8,264,271,165247,234201,13138,13052,7791,0,0.461874,0.009836441999999997,2303.7319789998874,386.61677799979225
23,0f05491a,knowledge-update,45,294,false,true,true,true,67,109,42,294,294,1,9,2,8,294,299,197080,265711,15591,14251,9650,0,0.5500700000000003,0.011159862000000005,2462.4582045001443,389.08792149997316
