arm,evidence_kind,cases,ADD,UPDATE,DELETE,NOOP,INVALID_OR_OTHER,valid_predictions,execution_errors,predicted_mutations,successful_mutation_applications,predicted_mutation_rate
B,ALL,6912,1783,387,0,4742,0,6912,2,2170,2168,0.31394675925925924
B,current,2769,1015,185,0,1569,0,2769,1,1200,1199,0.4333694474539545
B,historical,1298,446,126,0,726,0,1298,1,572,571,0.4406779661016949
B,retracted,2,0,0,0,2,0,2,0,0,0,0
B,tentative,2843,322,76,0,2445,0,2843,0,398,398,0.13999296517762927
C,ALL,6912,3162,154,0,3596,0,6912,2,3316,3314,0.47974537037037035
C,current,2769,1531,70,0,1168,0,2769,1,1601,1600,0.5781870711448176
C,historical,1298,746,56,0,496,0,1298,1,802,801,0.6178736517719569
C,retracted,2,0,0,0,2,0,2,0,0,0,0
C,tentative,2843,885,28,0,1930,0,2843,0,913,913,0.3211396412240591
